Meldedatum,AnzahlFall,AnzahlTodesfall
2020-03-10,3,0
2020-03-11,4,0
2020-03-12,4,0
2020-03-13,1,0
2020-03-14,1,0
2020-03-16,5,0
2020-03-17,2,0
2020-03-18,5,0
2020-03-19,9,0
2020-03-20,3,0
2020-03-21,2,0
2020-03-22,2,1
2020-03-23,11,1
2020-03-24,11,1
2020-03-25,6,0
2020-03-26,6,0
2020-03-27,12,0
2020-03-28,11,0
2020-03-29,14,1
2020-03-30,9,1
2020-03-31,3,0
2020-04-01,12,2
2020-04-02,10,0
2020-04-03,10,0
2020-04-04,3,0
2020-04-05,4,0
2020-04-06,4,1
2020-04-07,3,0
2020-04-08,5,0
2020-04-09,11,1
2020-04-10,6,0
2020-04-11,2,0
2020-04-13,3,0
2020-04-14,1,0
2020-04-15,9,0
2020-04-16,9,0
2020-04-17,2,0
2020-04-18,3,0
2020-04-20,14,1
2020-04-21,5,0
2020-04-22,4,0
2020-04-23,1,0
2020-04-24,5,0
2020-04-25,2,0
2020-04-26,1,0
2020-04-27,3,0
2020-04-28,5,0
2020-04-29,3,0
2020-04-30,1,0
2020-05-02,1,0
2020-05-04,5,0
2020-05-05,1,0
2020-05-06,2,0
2020-05-08,2,0
2020-05-09,1,0
2020-05-11,1,0
2020-05-30,1,0
2020-06-11,2,0
2020-06-25,1,0
2020-06-26,1,0
2020-06-27,1,0
2020-06-29,1,0
2020-06-30,2,0
2020-07-01,7,0
2020-07-08,2,0
2020-07-14,2,0
2020-07-15,3,0
2020-07-16,1,0
2020-07-17,3,0
2020-07-19,3,0
2020-07-22,3,0
2020-07-24,1,0
2020-07-26,2,0
2020-07-27,3,1
2020-07-28,1,0
2020-07-29,4,0
2020-07-30,6,0
2020-07-31,2,0
2020-08-01,2,0
2020-08-02,2,0
2020-08-04,5,0
2020-08-05,5,0
2020-08-06,6,0
2020-08-07,1,0
2020-08-10,2,0
2020-08-11,8,0
2020-08-12,11,0
2020-08-13,1,0
2020-08-14,9,0
2020-08-15,6,0
2020-08-16,2,0
2020-08-17,2,0
2020-08-18,6,0
2020-08-19,8,0
2020-08-20,5,0
2020-08-21,8,0
